,NPD_WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
75,7405.0,24.0,215.30399999999997,108.079,156.599,13.447000000000001,47.6112,58.705,58.703,30.313000000000002,708.0,104156.0,50.00000000000002,0.0,production,OP
76,7405.0,24.0,214.94899999999998,108.085,156.713,13.447000000000001,47.619820000000004,58.236000000000004,58.418,29.846,703.0,102418.0,51.99999999999998,0.0,production,OP
77,7405.0,24.0,214.858,108.087,157.394,14.187,47.659729999999996,57.464,57.88300000000001,28.78,696.0,102285.0,51.99999999999998,0.0,production,OP
78,7405.0,24.0,214.89700000000005,108.08,157.989,14.656600000000001,47.62792,56.908,57.35,28.519000000000002,658.0,96652.0,95.00000000000001,0.0,production,OP
79,7405.0,24.0,214.822,108.084,157.947,14.5468,46.56755,56.875,58.007,28.476999999999997,576.0,85082.0,79.00000000000003,0.0,production,OP
80,7405.0,16.58,219.55900000000003,107.447,158.58100000000002,11.578999999999999,44.0,60.978,49.152,35.123000000000005,370.00000000000006,55419.99999999999,50.99999999999997,0.0,production,OP
81,7405.0,23.83,217.252,107.635,162.789,13.066600000000001,44.3751,54.461999999999996,50.511,26.031999999999996,418.0,63214.00000000001,59.00000000000002,0.0,production,OP
82,7405.0,24.0,215.093,108.07799999999999,160.766,15.8242,47.05341,54.327,55.687999999999995,25.903000000000002,589.0,88193.0,92.00000000000006,0.0,production,OP
83,7405.0,24.0,215.25900000000001,108.09899999999999,160.197,13.863000000000001,46.83166,55.062000000000005,55.97,26.646,572.0,85616.0,81.99999999999999,0.0,production,OP
84,7405.0,24.0,215.351,108.10799999999999,160.21200000000002,13.863000000000001,45.82783,55.138999999999996,56.006,26.726999999999997,513.0,76979.0,70.99999999999997,0.0,production,OP
85,7405.0,24.0,215.38500000000002,108.11399999999999,160.417,13.863000000000001,46.78696,54.967,56.25399999999999,26.555,563.0,84308.0,79.00000000000003,0.0,production,OP
86,7405.0,24.0,215.407,108.119,160.599,13.066600000000001,46.79973,54.808,51.652,26.39,564.0,84365.0,79.00000000000003,0.0,production,OP
87,7405.0,24.0,215.332,108.124,160.782,13.066600000000001,46.80369,54.551,50.821000000000005,26.131999999999998,565.0,84351.0,79.00000000000003,0.0,production,OP
88,7405.0,24.0,215.211,108.12899999999999,161.101,13.066600000000001,46.84702,54.111000000000004,51.418,25.676,564.0,84183.0,79.99999999999997,0.0,production,OP
89,7405.0,24.0,215.11900000000006,108.132,161.484,15.8242,46.855990000000006,53.635,54.232,25.201,563.0,83870.0,79.99999999999997,0.0,production,OP
90,7405.0,24.0,215.067,108.134,161.97299999999998,15.8242,46.86472,53.093999999999994,56.636,24.659000000000002,563.0,83854.0,79.99999999999997,0.0,production,OP
91,7405.0,24.0,215.06999999999996,108.13600000000001,162.407,15.8242,46.82457,52.663000000000004,54.966,24.234,522.0,77847.0,153.99999999999997,0.0,production,WI
92,7405.0,24.0,215.047,108.139,163.023,15.8242,46.80372,52.023999999999994,57.48499999999999,23.586,523.0,77885.0,247.00000000000003,0.0,production,OP
93,7405.0,24.0,215.13599999999997,108.14,163.889,15.8242,46.80708,51.247,56.123000000000005,22.798000000000002,522.0,77859.0,247.00000000000003,0.0,production,OP
94,7405.0,24.0,215.165,108.14299999999999,164.233,15.8242,46.79164,50.931999999999995,57.489,22.48,490.0,73241.0,213.00000000000006,0.0,production,OP
95,7405.0,24.0,215.188,108.14399999999999,164.696,15.8242,46.787729999999996,50.492,56.119,22.038,492.0,72895.0,253.00000000000006,0.0,production,OP
96,7405.0,24.0,215.46400000000003,108.14200000000001,165.92700000000002,15.8242,46.85941,49.535999999999994,56.633,21.08,488.0,72637.0,204.00000000000006,0.0,production,OP
97,7405.0,24.0,215.75900000000001,108.134,166.743,15.8242,46.800470000000004,49.016000000000005,57.203999999999986,20.54,482.0,71515.0,200.00000000000003,0.0,production,OP
98,7405.0,24.0,215.97699999999998,108.12100000000001,167.412,15.8242,47.00266,48.565,56.77499999999999,20.102,492.0,73096.0,214.99999999999994,0.0,production,OP
99,7405.0,24.0,215.051,108.145,166.18900000000002,15.8242,47.88536,48.861999999999995,56.395,20.38,476.0,70443.0,247.00000000000003,0.0,production,OP
